Industry,REF_DATE,employment_thousands
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",2025,250.7
"Business, building and other support services [55, 56]",2025,247.3
"Durables [321, 327, 331-339]",2025,243.3
Transportation and warehousing [48-49],2025,242.7
Public administration [91],2025,236.1
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,230.9
Real estate and rental and leasing [53],2025,230.3
Other services (except public administration) [81],2025,229.4
"Agriculture [111-112, 1100, 1151-1152]",2025,228.5
"Professional, scientific and technical services [54]",2025,227.3
"Information, culture and recreation [51, 71]",2025,226.8
Wholesale trade [41],2025,223.8
"Durables [321, 327, 331-339]",2025,221.0
Goods-producing sector,2025,218.8
Transportation and warehousing [48-49],2025,217.8
"Information, culture and recreation [51, 71]",2025,217.4
Construction [23],2025,215.4
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,214.4
Retail trade [44-45],2025,214.3
Educational services [61],2025,208.6
Health care and social assistance [62],2025,205.2
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",2025,204.6
Construction [23],2025,200.9
Wholesale trade [41],2025,189.2
"Non-durables [311-316, 322-326]",2025,188.6
Other services (except public administration) [81],2025,188.4
Finance and insurance [52],2025,188.1
Accommodation and food services [72],2025,187.6
Construction [23],2025,182.2
"Business, building and other support services [55, 56]",2025,182.0
"Non-durables [311-316, 322-326]",2025,178.2
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,175.3
Transportation and warehousing [48-49],2025,175.0
"Business, building and other support services [55, 56]",2025,173.7
Real estate and rental and leasing [53],2025,172.2
Utilities [22],2025,162.0
"Durables [321, 327, 331-339]",2025,160.3
"Agriculture [111-112, 1100, 1151-1152]",2025,158.1
"Finance, insurance, real estate, rental and leasing [52, 53]",2025,156.6
"Professional, scientific and technical services [54]",2025,154.3
Wholesale trade [41],2025,153.3
"Finance, insurance, real estate, rental and leasing [52, 53]",2025,153.3
Construction [23],2025,153.0
Real estate and rental and leasing [53],2025,142.1
Manufacturing [31-33],2025,140.6
"Information, culture and recreation [51, 71]",2025,139.1
Accommodation and food services [72],2025,138.5
Educational services [61],2025,137.8
Manufacturing [31-33],2025,133.6
Wholesale trade [41],2025,132.7
Utilities [22],2025,127.0
Health care and social assistance [62],2025,126.7
Utilities [22],2025,122.5
Real estate and rental and leasing [53],2025,121.8
Educational services [61],2025,121.6
"Professional, scientific and technical services [54]",2025,121.4
"Non-durables [311-316, 322-326]",2025,120.8
Public administration [91],2025,118.7
Public administration [91],2025,117.4
Real estate and rental and leasing [53],2025,115.8
"Information, culture and recreation [51, 71]",2025,115.2
"Agriculture [111-112, 1100, 1151-1152]",2025,114.2
"Information, culture and recreation [51, 71]",2025,111.5
Finance and insurance [52],2025,105.4
Manufacturing [31-33],2025,102.5
Utilities [22],2025,96.3
Other services (except public administration) [81],2025,95.7
Other services (except public administration) [81],2025,94.4
"Business, building and other support services [55, 56]",2025,94.2
Other services (except public administration) [81],2025,94.0
Educational services [61],2025,90.2
"Business, building and other support services [55, 56]",2025,85.9
"Durables [321, 327, 331-339]",2025,85.2
"Finance, insurance, real estate, rental and leasing [52, 53]",2025,83.9
"Agriculture [111-112, 1100, 1151-1152]",2025,82.8
Finance and insurance [52],2025,82.7
"Business, building and other support services [55, 56]",2025,79.6
"Agriculture [111-112, 1100, 1151-1152]",2025,79.1
Accommodation and food services [72],2025,78.9
"Information, culture and recreation [51, 71]",2025,76.9
Public administration [91],2025,74.0
Real estate and rental and leasing [53],2025,73.9
Goods-producing sector,2025,73.8
Transportation and warehousing [48-49],2025,72.6
"Agriculture [111-112, 1100, 1151-1152]",2025,70.4
"Durables [321, 327, 331-339]",2025,68.0
"Non-durables [311-316, 322-326]",2025,67.8
"Professional, scientific and technical services [54]",2025,66.7
"Durables [321, 327, 331-339]",2025,65.8
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",2025,62.9
"Information, culture and recreation [51, 71]",2025,62.2
Finance and insurance [52],2025,61.0
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",2025,60.4
Transportation and warehousing [48-49],2025,59.6
Accommodation and food services [72],2025,59.6
"Agriculture [111-112, 1100, 1151-1152]",2025,59.1
"Business, building and other support services [55, 56]",2025,57.2
Wholesale trade [41],2025,56.5
Health care and social assistance [62],2025,55.7
"Non-durables [311-316, 322-326]",2025,55.4
Transportation and warehousing [48-49],2025,54.7
"Professional, scientific and technical services [54]",2025,54.6
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",2025,52.4
Other services (except public administration) [81],2025,50.6
Wholesale trade [41],2025,50.2
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,48.7
Real estate and rental and leasing [53],2025,47.9
Educational services [61],2025,47.6
"Finance, insurance, real estate, rental and leasing [52, 53]",2025,47.5
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,46.1
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",2025,46.0
Other services (except public administration) [81],2025,45.1
Construction [23],2025,43.7
"Forestry and logging and support activities for forestry [113, 1153]",2025,42.4
Public administration [91],2025,41.6
Utilities [22],2025,39.5
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,39.1
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,39.0
Manufacturing [31-33],2025,38.1
"Finance, insurance, real estate, rental and leasing [52, 53]",2025,36.4
Wholesale trade [41],2025,36.2
"Agriculture [111-112, 1100, 1151-1152]",2025,35.1
"Non-durables [311-316, 322-326]",2025,34.5
"Forestry and logging and support activities for forestry [113, 1153]",2025,33.9
Finance and insurance [52],2025,33.1
Public administration [91],2025,32.4
"Agriculture [111-112, 1100, 1151-1152]",2025,31.5
Utilities [22],2025,30.8
"Business, building and other support services [55, 56]",2025,28.7
Finance and insurance [52],2025,27.9
Utilities [22],2025,27.8
"Forestry and logging and support activities for forestry [113, 1153]",2025,27.7
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",2025,25.6
"Agriculture [111-112, 1100, 1151-1152]",2025,23.7
Real estate and rental and leasing [53],2025,22.9
"Forestry and logging and support activities for forestry [113, 1153]",2025,22.3
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",2025,21.7
"Non-durables [311-316, 322-326]",2025,20.9
Utilities [22],2025,20.5
"Agriculture [111-112, 1100, 1151-1152]",2025,19.8
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,19.1
Construction [23],2025,18.7
"Durables [321, 327, 331-339]",2025,17.2
"Fishing, hunting and trapping [114]",2025,17.1
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,16.6
Real estate and rental and leasing [53],2025,14.4
Wholesale trade [41],2025,14.0
"Fishing, hunting and trapping [114]",2025,13.9
Transportation and warehousing [48-49],2025,13.0
"Agriculture [111-112, 1100, 1151-1152]",2025,11.6
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",2025,10.5
"Forestry and logging and support activities for forestry [113, 1153]",2025,10.2
"Fishing, hunting and trapping [114]",2025,8.6
"Forestry and logging and support activities for forestry [113, 1153]",2025,8.5
Real estate and rental and leasing [53],2025,8.5
"Forestry and logging and support activities for forestry [113, 1153]",2025,7.9
Utilities [22],2025,7.3
Utilities [22],2025,7.2
"Fishing, hunting and trapping [114]",2025,7.1
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,7.0
"Fishing, hunting and trapping [114]",2025,6.7
Utilities [22],2025,5.7
"Forestry and logging and support activities for forestry [113, 1153]",2025,5.4
"Fishing, hunting and trapping [114]",2025,5.4
"Forestry and logging and support activities for forestry [113, 1153]",2025,4.6
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",2025,3.9
"Forestry and logging and support activities for forestry [113, 1153]",2025,3.7
"Fishing, hunting and trapping [114]",2025,3.2
"Mining, quarrying, and oil and gas extraction [21, 2100]",2025,2.6
"Forestry and logging and support activities for forestry [113, 1153]",2025,2.2
"Fishing, hunting and trapping [114]",2025,1.8
"Fishing, hunting and trapping [114]",2025,1.5
Utilities [22],2025,1.5
"Forestry and logging and support activities for forestry [113, 1153]",2025,
"Fishing, hunting and trapping [114]",2025,
