REF_DATE,GEO,unemployment_rate
2020-03,Alberta,9.8
2020-03,Alberta,0.4
2020-03,Alberta,0.4
2020-03,Alberta,0.5
2020-03,Alberta,21.9
2020-03,Alberta,23.6
2020-03,Alberta,1.3
2020-03,Alberta,1.3
2020-03,Alberta,1.8
2020-03,Alberta,32.4
2020-03,Alberta,19.1
2020-03,Alberta,6.9
2020-03,Alberta,7.6
2020-03,Alberta,0.4
2020-03,Alberta,0.3
2020-03,Alberta,0.5
2020-03,Alberta,7.0
2020-03,Alberta,7.8
2020-03,Alberta,0.4
2020-03,Alberta,0.4
2020-03,Alberta,0.6
2020-03,Alberta,6.4
2020-03,Alberta,6.7
2020-03,Alberta,0.9
2020-03,Alberta,0.8
2020-03,Alberta,1.1
2020-03,Alberta,8.2
2020-03,Alberta,9.4
2020-03,Alberta,0.5
2020-03,Alberta,0.5
2020-03,Alberta,0.7
2020-03,Alberta,8.9
2020-03,Alberta,9.7
2020-03,Alberta,0.5
2020-03,Alberta,0.5
2020-03,Alberta,0.7
2020-03,Alberta,20.7
2020-03,Alberta,22.1
2020-03,Alberta,2.0
2020-03,Alberta,1.9
2020-03,Alberta,2.7
2020-03,Alberta,32.6
2020-03,Alberta,17.2
2020-03,Alberta,6.5
2020-03,Alberta,7.8
2020-03,Alberta,0.5
2020-03,Alberta,0.5
2020-03,Alberta,0.7
2020-03,Alberta,6.5
2020-03,Alberta,8.1
2020-03,Alberta,0.6
2020-03,Alberta,0.6
2020-03,Alberta,0.8
2020-03,Alberta,6.5
2020-03,Alberta,6.8
2020-03,Alberta,1.2
2020-03,Alberta,1.1
2020-03,Alberta,1.6
2020-03,Alberta,9.5
2020-03,Alberta,9.7
2020-03,Alberta,0.5
2020-03,Alberta,0.5
2020-03,Alberta,0.7
2020-03,Alberta,9.9
2020-03,Alberta,9.8
2020-03,Alberta,0.5
2020-03,Alberta,0.5
2020-03,Alberta,0.7
2020-03,Alberta,23.1
2020-03,Alberta,25.3
2020-03,Alberta,1.7
2020-03,Alberta,1.8
2020-03,Alberta,2.3
2020-03,Alberta,32.1
2020-03,Alberta,21.3
2020-03,Alberta,7.4
2020-03,Alberta,7.3
2020-03,Alberta,0.5
2020-03,Alberta,0.5
2020-03,Alberta,0.7
2020-03,Alberta,7.6
2020-03,Alberta,7.5
2020-03,Alberta,0.6
2020-03,Alberta,0.6
2020-03,Alberta,0.8
2020-03,Alberta,6.4
2020-03,Alberta,6.6
2020-03,Alberta,1.1
2020-03,Alberta,1.0
2020-03,Alberta,1.6
2020-04,Alberta,13.1
2020-04,Alberta,13.9
2020-04,Alberta,0.4
2020-04,Alberta,0.3
2020-04,Alberta,0.5
2020-04,Alberta,13.8
2020-04,Alberta,14.2
2020-04,Alberta,0.4
2020-04,Alberta,0.4
2020-04,Alberta,0.5
2020-04,Alberta,27.0
2020-04,Alberta,27.6
2020-04,Alberta,1.3
2020-04,Alberta,1.3
2020-04,Alberta,1.8
2020-04,Alberta,41.1
2020-04,Alberta,20.6
2020-04,Alberta,11.4
2020-04,Alberta,12.3
2020-04,Alberta,0.4
2020-04,Alberta,0.3
2020-04,Alberta,0.5
2020-04,Alberta,11.5
2020-04,Alberta,12.4
2020-04,Alberta,0.4
2020-04,Alberta,0.4
2020-04,Alberta,0.6
2020-04,Alberta,11.2
2020-04,Alberta,11.8
2020-04,Alberta,0.9
2020-04,Alberta,0.8
2020-04,Alberta,1.1
2020-04,Alberta,12.5
